movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,star,votes,gross(in $),normalized_rating
tt1630029,Avatar: The Way of Water,2022,PG-13,192,Fantasy,7.8,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.",James Cameron,"Sam Worthington, 
Zoe Saldana, 
Sigourney Weaver, 
Stephen Lang",295119.0,0.0,0.78
tt15486810,Teen Wolf: The Movie,2023,TV-MA,140,Fantasy,5.6,"A terrifying evil has emerged. The wolves howl once again, but only a Werewolf like Scott McCall, can gather both new allies and reunite trusted friends to fight back against what could be the most powerful and deadliest enemy.",Russell Mulcahy,"Tyler Posey, 
Crystal Reed, 
Holland Roden, 
Tyler Hoechlin",9026.0,0.0,0.5599999999999999
tt0499549,Avatar,2009,PG-13,162,Fantasy,7.9,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,James Cameron,"Sam Worthington, 
Zoe Saldana, 
Sigourney Weaver, 
Michelle Rodriguez",1322694.0,760507625.0,0.79
tt0241527,Harry Potter and the Sorcerer's Stone,2001,PG,152,Fantasy,7.6,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",Chris Columbus,"Daniel Radcliffe, 
Rupert Grint, 
Richard Harris, 
Maggie Smith",792448.0,317575550.0,0.76
tt6443346,Black Adam,2022,PG-13,125,Fantasy,6.4,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods--and imprisoned just as quickly--Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",Jaume Collet-Serra,"Dwayne Johnson, 
Aldis Hodge, 
Pierce Brosnan, 
Noah Centineo",222934.0,0.0,0.64
tt0439572,The Flash,2023,Unknown,0,Fantasy,0.0,"Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future.",Andy Muschietti,"Ben Affleck, 
Michael Shannon, 
Michael Keaton, 
Ezra Miller",0.0,0.0,0.0
tt2906216,Dungeons & Dragons: Honor Among Thieves,2023,Unknown,134,Fantasy,0.0,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.","John Francis Daley, 
Jonathan Goldstein","Chris Pine, 
Michelle Rodriguez, 
Regé-Jean Page, 
Justice Smith",0.0,0.0,0.0
tt10872600,Spider-Man: No Way Home,2021,PG-13,148,Fantasy,8.2,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",Jon Watts,"Tom Holland, 
Zendaya, 
Benedict Cumberbatch, 
Jacob Batalon",770492.0,804747988.0,0.82
tt5971474,The Little Mermaid,2023,PG,0,Fantasy,0.0,"A young mermaid makes a deal with a sea witch, to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.",Rob Marshall,"Halle Bailey, 
Jonah Hauer-King, 
Melissa McCarthy, 
Javier Bardem",0.0,0.0,0.0
tt1517268,Barbie,2023,Unknown,0,Fantasy,0.0,To live in Barbie Land is to be a perfect being in a perfect place. Unless you have a full-on existential crisis. Or you're a Ken.,Greta Gerwig,"Margot Robbie, 
Ryan Gosling, 
Helen Mirren, 
Will Ferrell",0.0,0.0,0.0
tt0107048,Groundhog Day,1993,PG,101,Fantasy,8.1,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right.",Harold Ramis,"Bill Murray, 
Andie MacDowell, 
Chris Elliott, 
Stephen Tobolowsky",640914.0,70906973.0,0.8099999999999999
tt0446029,Scott Pilgrim vs. the World,2010,PG-13,112,Fantasy,7.5,"In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.",Edgar Wright,"Michael Cera, 
Mary Elizabeth Winstead, 
Kieran Culkin, 
Anna Kendrick",433481.0,31494270.0,0.75
tt0330373,Harry Potter and the Goblet of Fire,2005,PG-13,157,Fantasy,7.7,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",Mike Newell,"Daniel Radcliffe, 
Emma Watson, 
Rupert Grint, 
Eric Sykes",636066.0,290013036.0,0.77
tt0120616,The Mummy,1999,PG-13,124,Fantasy,7.1,"At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love.",Stephen Sommers,"Brendan Fraser, 
Rachel Weisz, 
John Hannah, 
Arnold Vosloo",436705.0,155247825.0,0.71
tt7984734,The Lighthouse,2019,R,109,Fantasy,7.4,Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.,Robert Eggers,"Robert Pattinson, 
Willem Dafoe, 
Valeriia Karaman, 
Logan Hawkes",223508.0,427797.0,0.74
tt13841850,Men,2022,R,100,Fantasy,6.1,A young woman goes on a solo vacation to the English countryside following the death of her ex-husband.,Alex Garland,"Jessie Buckley, 
Rory Kinnear, 
Paapa Essiedu, 
Gayle Rankin",45990.0,0.0,0.61
