movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,star,votes,gross(in $),normalized_rating
tt8760708,M3GAN,2022,PG-13,102,Sci-Fi,6.4,A robotics engineer at a toy company builds a life-like doll that begins to take on a life of its own.,Gerard Johnstone,"Allison Williams, 
Violet McGraw, 
Ronny Chieng, 
Amie Donald",62493.0,0.0,0.64
tt1825683,Black Panther,2018,PG-13,134,Sci-Fi,7.3,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",Ryan Coogler,"Chadwick Boseman, 
Michael B. Jordan, 
Lupita Nyong'o, 
Danai Gurira",785830.0,700059566.0,0.73
tt0816692,Interstellar,2014,PG-13,169,Sci-Fi,8.6,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Christopher Nolan,"Matthew McConaughey, 
Anne Hathaway, 
Jessica Chastain, 
Mackenzie Foy",1859284.0,188020017.0,0.86
tt8041270,Jurassic World: Dominion,2022,PG-13,147,Sci-Fi,5.6,"Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.",Colin Trevorrow,"Chris Pratt, 
Bryce Dallas Howard, 
Laura Dern, 
Sam Neill",171789.0,0.0,0.5599999999999999
tt1392170,The Hunger Games,2012,PG-13,142,Sci-Fi,7.2,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,Gary Ross,"Jennifer Lawrence, 
Josh Hutcherson, 
Liam Hemsworth, 
Stanley Tucci",927509.0,408010692.0,0.72
tt10954984,Nope,2022,R,130,Sci-Fi,6.9,The residents of a lonely gulch in inland California bear witness to an uncanny and chilling discovery.,Jordan Peele,"Daniel Kaluuya, 
Keke Palmer, 
Brandon Perea, 
Michael Wincott",200056.0,0.0,0.6900000000000001
tt1375666,Inception,2010,PG-13,148,Sci-Fi,8.8,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Christopher Nolan,"Leonardo DiCaprio, 
Joseph Gordon-Levitt, 
Elliot Page, 
Ken Watanabe",2373707.0,292576195.0,0.8800000000000001
tt22769820,Legion of Super-Heroes,2023,PG-13,83,Sci-Fi,5.7,"Kara, devastated by the loss of Krypton, struggles to adjust to her new life on Earth. Superman mentors her. Meanwhile, she must contend with a mysterious group called the Dark Circle who searches for a powerful weapon held in the Academy's vault.",Jeff Wamester,"Jensen Ackles, 
Matt Bomer, 
Darin De Paul, 
Ben Diskin",1206.0,0.0,0.5700000000000001
tt0133093,The Matrix,1999,R,136,Sci-Fi,8.7,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Lana Wachowski, 
Lilly Wachowski","Keanu Reeves, 
Laurence Fishburne, 
Carrie-Anne Moss, 
Hugo Weaving",1928040.0,171479930.0,0.8699999999999999
tt11286314,Don't Look Up,2021,R,138,Sci-Fi,7.2,Two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth.,Adam McKay,"Leonardo DiCaprio, 
Jennifer Lawrence, 
Meryl Streep, 
Cate Blanchett",545331.0,0.0,0.72
tt0116629,Independence Day,1996,PG-13,145,Sci-Fi,7.0,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.",Roland Emmerich,"Will Smith, 
Bill Pullman, 
Jeff Goldblum, 
Mary McDonnell",580887.0,306169255.0,0.7
tt0115624,Barb Wire,1996,R,98,Sci-Fi,3.5,"During the Second American Civil War in 2017, Barb Wire owns a nightclub called the Hammerhead. Things become complicated when her ex-lover Axel Hood, who is married to the fugitive Corrina Devonshire, re-enters her life.",David Hogan,"Pamela Anderson, 
Amir AboulEla, 
Adriana Alexander, 
David Andriole",29766.0,3794000.0,0.35
